"label","n_active","n_sham","t","p","d"
"a. Primary",11,8,-1.86547098499935,0.0796675251906053,-0.83459581462657
"b. Excl TP_E3834",10,8,-2.25196354917876,0.0388321760138299,-1.04923435133451
"c. Conservative zero-flag",2,2,-1.75620506630981,0.249081824776062,-1.75620506630981
"d. Excl JV_E4324 sham",11,8,-1.86547098499935,0.0796675251906053,-0.83459581462657
"e. HOA exclusions",11,7,-1.88889435656526,0.0789404116176557,-0.876592833028497
"f. Schaefer only",11,8,-1.70640056733494,0.106609112463389,-0.770151317625563
"g. Melbourne only",11,8,-1.9347812301632,0.0698503228234651,-0.847770411220835
