"network","active_da","sham_da","t","p","d","p_fdr","p_bonf","fdr_sig","bonf_sig","primary"
"Subcortical",-0.0245706526296569,0.0534407983673931,-1.9347812301632,0.0698503228234651,-0.847770411220835,0.386248630641194,0.558802582587721,FALSE,FALSE,TRUE
"Default Mode",-0.0127451759152586,0.020218841305947,-1.51377666196361,0.148452898618496,-0.665621007873441,0.386248630641194,1,FALSE,FALSE,TRUE
"Somatomotor",-0.0338866673288051,0.0358318163143224,-1.42689547004804,0.173504350616141,-0.660442395255923,0.386248630641194,1,FALSE,FALSE,FALSE
"Visual",-0.0437076999455325,-0.0095151160299656,-1.230854311367,0.235366473542622,-0.551681978089626,0.386248630641194,1,FALSE,FALSE,FALSE
"Limbic",-0.0379779972887749,0.0102922997865358,-1.21561082245031,0.241405394150746,-0.519431008172779,0.386248630641194,1,FALSE,FALSE,TRUE
"Frontoparietal",-0.0115065302192465,0.0239179678087208,-1.09557655364635,0.293228700523251,-0.52909145385304,0.389628999066464,1,FALSE,FALSE,FALSE
"Dorsal Attention",-0.0266326198507124,0.00334752412070922,-0.979942808732202,0.340925374183156,-0.436063787603213,0.389628999066464,1,FALSE,FALSE,FALSE
"Salience/VentAttn",0.0113580590252973,0.00518163808432541,0.189502906491935,0.852133478111995,0.0873661073458443,0.852133478111995,1,FALSE,FALSE,FALSE
